"regiao","ano","mes","carga_de_demanda"
"NE","2014",7,10711.9
"NE","2014",8,10829.03
"NE","2014",9,11579.12
"NE","2014",10,11600.86
"NE","2014",11,11793.12
"NE","2014",12,11640.33
"NE","2015",1,11915.59
"NE","2015",2,11953.85
"NE","2015",3,11935.13
"NE","2015",4,12192.57
"NE","2015",5,11732.18
"NE","2015",6,11265.77
"NE","2015",7,10675.06
"NE","2015",8,11173.71
"NE","2015",9,11459.25
"NE","2015",10,11903.09
"NE","2015",11,12297.1
"NE","2015",12,12373.66
"NE","2016",1,11462.76
"NE","2016",2,11989.19
"NE","2016",3,12314.56
"NE","2016",4,12238.76
"NE","2016",5,0
"NE","2016",6,0
"NE","2016",7,0
"NE","2016",8,0
"NE","2016",9,0
"NE","2016",10,0
"NE","2016",11,0
"NE","2016",12,0
"S","2000",1,8637.2
"S","2000",2,8796.9
"S","2000",3,9431.8
"S","2000",4,9595.6
"S","2000",5,9589.1
"S","2000",6,9751.3
"S","2000",7,9482.9
"S","2000",8,9221.6
"S","2000",9,9105.4
"S","2000",10,9205.6
"S","2000",11,9147.1
"S","2000",12,9237.9
"S","2001",1,9134.2
"S","2001",2,9429.7
"S","2001",3,10058.6
"S","2001",4,9756.3
"S","2001",5,9413.3
"S","2001",6,9148.4
"S","2001",7,8825.4
"S","2001",8,8781.8
"S","2001",9,8709.2
"S","2001",10,8843
"S","2001",11,8804
"S","2001",12,8796.9
"S","2002",1,8387.07
"S","2002",2,8690.64
"S","2002",3,8941.65
"S","2002",4,8902.82
"S","2002",5,9012.38
"S","2002",6,9079.32
"S","2002",7,8833.12
"S","2002",8,8662.95
"S","2002",9,8662.35
"S","2002",10,9031.23
"S","2002",11,8583.52
"S","2002",12,8622.28
"S","2003",1,8659.8
"S","2003",2,9089.61
"S","2003",3,9127.15
"S","2003",4,9452.23
"S","2003",5,9322.68
"S","2003",6,9210.85
"S","2003",7,9096.43
"S","2003",8,8936.57
"S","2003",9,9357.74
"S","2003",10,9235.12
"S","2003",11,9045.27
"S","2003",12,9035.03
"S","2004",1,9006.91
"S","2004",2,9287.57
"S","2004",3,9729.47
"S","2004",4,9961.56
"S","2004",5,9668.56
"S","2004",6,9873.96
"S","2004",7,9849.8
"S","2004",8,9530.99
"S","2004",9,9711.96
"S","2004",10,9659.52
"S","2004",11,9514.09
"S","2004",12,9619.75
"S","2005",1,9576.3
"S","2005",2,9904.71
"S","2005",3,10403.11
"S","2005",4,10529.28
"S","2005",5,10131.86
"S","2005",6,10169.2
"S","2005",7,9883.6
"S","2005",8,9793.19
"S","2005",9,9810.45
"S","2005",10,9988.72
"S","2005",11,9814.52
"S","2005",12,9568
"S","2006",1,9827.66
"S","2006",2,10036.05
"S","2006",3,10749.94
"S","2006",4,10389.07
"S","2006",5,10532.21
"S","2006",6,10561.61
"S","2006",7,10517.93
"S","2006",8,10221.51
"S","2006",9,10084.06
"S","2006",10,10522.82
"S","2006",11,10114.77
"S","2006",12,10311.2
"S","2007",1,10374.33
"S","2007",2,10799.54
"S","2007",3,11238.05
"S","2007",4,10876.48
"S","2007",5,10645.91
"S","2007",6,10867.98
"S","2007",7,10753.32
"S","2007",8,10539.11
"S","2007",9,10650.64
"S","2007",10,10854
"S","2007",11,10566.37
"S","2007",12,10570.74
"S","2008",1,10866.84
"S","2008",2,11134.98
"S","2008",3,11423.7
"S","2008",4,11382.65
"S","2008",5,11363.88
"S","2008",6,12270.11
"S","2008",7,11142.97
"S","2008",8,10797
"S","2008",9,10792.42
"S","2008",10,10696.25
"S","2008",11,10507.95
"S","2008",12,10701.78
"S","2009",1,11618.7
"S","2009",2,11956.89
"S","2009",3,12165.3
"S","2009",4,11665.01
"S","2009",5,10944.21
"S","2009",6,10860.91
"S","2009",7,10727.75
"S","2009",8,10454.11
"S","2009",9,10457.84
"S","2009",10,11148.69
"S","2009",11,11919.91
"S","2009",12,11903.91
"S","2010",1,12180.45
"S","2010",2,13477.17
"S","2010",3,12633.24
"S","2010",4,11753.21
"S","2010",5,10821.98
"S","2010",6,11240.24
"S","2010",7,11339.18
"S","2010",8,11322.06
"S","2010",9,11277.31
"S","2010",10,11205.34
"S","2010",11,12245.22
"S","2010",12,12611.6
"S","2011",1,13472.07
"S","2011",2,13166.94
"S","2011",3,12841.25
"S","2011",4,12105.31
"S","2011",5,11640.13
"S","2011",6,12038.81
"S","2011",7,11719.53
"S","2011",8,11796.53
"S","2011",9,12145.56
"S","2011",10,12468.71
"S","2011",11,13598.12
"S","2011",12,13688.06
"S","2012",1,14204.45
"S","2012",2,14802.85
"S","2012",3,14957.59
"S","2012",4,13520.88
"S","2012",5,12569.84
"S","2012",6,12465.81
"S","2012",7,12554.15
"S","2012",8,12613.21
"S","2012",9,12984.61
"S","2012",10,13248.78
"S","2012",11,14432.13
"S","2012",12,15063.71
"S","2013",1,15217.49
"S","2013",2,15568.46
"S","2013",3,14387.86
"S","2013",4,13559.21
"S","2013",5,13187.88
"S","2013",6,13031.02
"S","2013",7,13470.85
"S","2013",8,12917.64
"S","2013",9,13837.25
"S","2013",10,13082.03
"S","2013",11,14762.47
"S","2013",12,14942.43
"S","2014",1,17229.56
"S","2014",2,17780.25
"S","2014",3,14857.78
"S","2014",4,15013.73
"S","2014",5,13105.63
"S","2014",6,13089.39
"S","2014",7,12852.36
"S","2014",8,12734.57
"S","2014",9,12845.5
"S","2014",10,15254.08
"S","2014",11,14772.29
"S","2014",12,16253.5
"S","2015",1,16574.72
"S","2015",2,16397.29
"S","2015",3,15906.01
"S","2015",4,13935.14
"S","2015",5,12921.68
"S","2015",6,12749.67
