"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"mensal","NORDESTE",2003,"Mwmed",TRUE,TRUE
"anual","NORTE",2003,"Mwmed",TRUE,TRUE
"mensal","NORTE",2003,"Mwmed",TRUE,TRUE
"anual","SIN",2003,"Mwmed",TRUE,TRUE
"mensal","SIN",2003,"Mwmed",TRUE,TRUE
"anual","SE/CO",2004,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2004,"Mwmed",TRUE,TRUE
"anual","SUL",2004,"Mwmed",TRUE,TRUE
"mensal","SUL",2004,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2004,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2004,"Mwmed",TRUE,TRUE
"anual","NORTE",2004,"Mwmed",TRUE,TRUE
"mensal","NORTE",2004,"Mwmed",TRUE,TRUE
"anual","SIN",2004,"Mwmed",TRUE,TRUE
"mensal","SIN",2004,"Mwmed",TRUE,TRUE
"anual","SE/CO",2005,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2005,"Mwmed",TRUE,TRUE
"anual","SUL",2005,"Mwmed",TRUE,TRUE
"mensal","SUL",2005,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2005,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2005,"Mwmed",TRUE,TRUE
"anual","NORTE",2005,"Mwmed",TRUE,TRUE
"mensal","NORTE",2005,"Mwmed",TRUE,TRUE
"anual","SIN",2005,"Mwmed",TRUE,TRUE
"mensal","SIN",2005,"Mwmed",TRUE,TRUE
"anual","SE/CO",2006,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2006,"Mwmed",TRUE,TRUE
"anual","SUL",2006,"Mwmed",TRUE,TRUE
"mensal","SUL",2006,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2006,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2006,"Mwmed",TRUE,TRUE
"anual","NORTE",2006,"Mwmed",TRUE,TRUE
"mensal","NORTE",2006,"Mwmed",TRUE,TRUE
"anual","SIN",2006,"Mwmed",TRUE,TRUE
"mensal","SIN",2006,"Mwmed",TRUE,TRUE
"anual","SE/CO",2007,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2007,"Mwmed",TRUE,TRUE
"anual","SUL",2007,"Mwmed",TRUE,TRUE
"mensal","SUL",2007,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2007,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2007,"Mwmed",TRUE,TRUE
"anual","NORTE",2007,"Mwmed",TRUE,TRUE
"mensal","NORTE",2007,"Mwmed",TRUE,TRUE
"anual","SIN",2007,"Mwmed",TRUE,TRUE
"mensal","SIN",2007,"Mwmed",TRUE,TRUE
"anual","SE/CO",2008,"Mwmed",TRUE,TRUE
